Block,Subplot,LegacySpp,year,planting,weeding,ACHMIL,ERISPE,GAIARI,LINLEW,PENSTR,BOUGRA,ELYELY,KOEMAC,PSESPE,BROTEC,CENSTO,EUPESU,POTREC,original_legacy_cover,new_legacy_cover,exotic_grass_other,exotic_forb_other,native_grass_other ,native_forb_other,bare_ground,litter,exotic_other_total,exotic_total
3,C,EUPESU,2023,T,W,0,0,0,1,10,5,5,5,40,0,0,0,0,0,0,0,0,0,0,40,5,0,0
3,D,EUPESU,2023,T,C,0,0,0,0,0,0,5,10,5,45,0,5,0,5,45,1,10,0,0,15,15,11,61
3,A,POTREC,2023,T,W,0,0,0,0,0,25,0,5,5,0,0,0,0,0,0,0,0,0,0,35,30,0,0
3,B,POTREC,2023,T,C,0,0,0.1,0,0,5,0,10,20,10,0,0,5,5,10,0,5,0,0,30,25,5,20
3,C,POTREC,2023,S,C,0,0,0,0,0,5,0,0,5,0,0,0.1,0,0,0.1,0,35,0,0,35,20,35,35.1
3,D,POTREC,2023,S,W,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,75,10,0,0
3,A,Native,2023,S,C,0.1,0,0,0,0,5,1,0,5,0,0,1,0,0,1,0,25,0,5,40,20,25,26
3,B,Native,2023,S,W,1,0,1,0,5,10,0,0,1,0,0,0,0,0,0,0,0,0,0,65,20,0,0
3,C,Native,2023,T,C,5,5,0.1,0,10,0,1,5,15,5,10,0.1,10,0,25.1,0,20,0,0,20,15,20,45.1
3,D,Native,2023,T,W,0,0,5,0,75,5,5,1,25,0,0,0,0,0,0,0,0,0,0,10,1,0,0
4,A,EUPESU,2023,T,C,0,0,0,0,0,0,0,5,0,75,0,0,0,0,75,1,0,0,0,5,25,1,76
4,B,EUPESU,2023,T,W,0,0,0,0,20,5,0,5,20,0,0,0,0,0,0,0,0,0,0,40,10,0,0
4,C,EUPESU,2023,S,C,0,0,0,0,0,0,0,0,1,10,0,10,0,10,10,20,20,0,0,30,25,40,60
4,D,EUPESU,2023,S,W,0,0,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,0.1,0,80,10,0,0
4,A,Native,2023,S,C,0,0,0,0,0,0,1,0,0,5,1,0,0,0,6,5,30,1,0,20,40,35,41
4,B,Native,2023,S,W,1,0,1,1,10,0,0,0,5,0,0,0,0,0,0,0,0,0.1,0,40,45,0,0
4,C,Native,2023,T,C,0,0,0,0.1,1,0,0,5,0,1,0,5,0,0,6,35,20,0,0,10,35,55,61
4,D,Native,2023,T,W,0,5,10,5,50,0,1,5,10,0,0,0,0,0,0,0,0,0,0,10,15,0,0
4,A,CENSTO,2023,S,C,0,0,0,0.1,0,0,0,0,1,10,1,15,0,1,25,0,65,0,1,10,10,65,91
4,B,CENSTO,2023,S,W,0,0,10,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0.1,0,65,20,0,0
4,C,CENSTO,2023,T,C,0.1,0,0,0,0,1,1,0,1,30,10,1,0,10,31,10,35,0,0,10,25,45,86
4,D,CENSTO,2023,T,W,5,0,0,0,40,5,15,10,25,0,0,0,0,0,0,0,0,0,0,20,10,0,0
4,A,POTREC,2023,S,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,60,40,0,0
4,B,POTREC,2023,S,C,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,50,0,0,5,20,50,100
